Northings,Eastings,Managed,Selective_cut,Shoots_dug,Clear_cut,Mix_bamboo,Mix_trees,Expansion,Other_bamboo,Forest,Conifer,Broadleaf,MixedForest,VegType,mean_temp,annual_rainfall,elevation,Tree_DBH,Culmheight_m,Basal_areaM2ha,ABG_biomassTha,CulmTha,LitterfallThayr,Dead_materialTha,ABG_C_stock,Cluster,SOC_Tha,SOC_10cm_px,pH,Soil_water_vv,N_px,BG_biomassTha,BGbiomassTCha,NPPtotal_Tha_yr,NPP_ABG_Tha_yr,NPP_BG_Tha_yr
33.61666667,130.5333333,1,1,1,1,1,1,1,1,1,1,1,1,1,15.9,1833,232,5.8625,12.5,51.5685,109,102.8175918,5.66,54.737,50.052778,1,53.985,3.73,5.17,24.8,0.31,19.52,21.03116909,18.29,9.59,8.7
33.61666667,130.5333333,1,1,1,1,1,1,1,1,1,1,1,1,1,15.9,1833,238,7.108,10.2,36.7825,78.3,69.03119006,4.35,41.242,44.55663633,1,51.425,4.49,5.09,20,0.37,20.59,17.29801978,13.02,7.24,5.78
33.61666667,130.5333333,1,1,1,1,1,1,1,1,1,1,1,1,1,15.9,1833,264,6.838,8.6,21.861,59.4,59.12354428,4.73,39.601,33.35965967,1,53.29,4.23,5.13,24.7,0.38,18.99,20.63718259,14.28,4.91,9.37
35.13333333,136.0666667,1,1,1,1,2,2,2,1,1,1,1,1,1,14.7,1570.9,271.7,6.639,14.1988465,61.945,147.3319755,124.9284017,5.75,90.926,65.47550833,1,101.355,4.0445,5.4095,13.1097,0.303,49.61665752,23.04995294,14.84,8.6675,7.461
35.2,140.2166667,2,1,1,1,1,1,2,1,1,1,1,1,1,14.9,1828,133,5.442,13.3251895,43.215,97.78203269,83.28819006,6.64,102.1245,56.43630833,1,122.005,6.0455,5.2275,16.2551,0.3535,47.57631129,28.4679585,12.3625,7.3175,7.5245
34.35,132.8666667,1,1,1,1,1,1,2,1,1,1,1,1,1,16.9,1570,170,5.507,13.7901895,50.595,114.9635632,98.61037797,5.018,119.202,53.25852267,1,95.005,4.7935,5.2485,18.496,0.3645,58.16765752,19.98589094,12.2875,8.5625,7.4825
35.55,136.0666667,1,1,1,1,2,1,2,1,1,1,1,1,1,15.6,1545,517,5.8225,14.8601895,57.2135,113.9015111,115.969568,5.9245,101.968,60.13595233,1,91.67,3.686,5.3115,16.9913,0.269,67.89834488,27.95019722,17.0885,8.735,7.231
34.9,135.6833333,1,1,1,1,2,1,2,1,1,1,1,1,1,14.5,1677,46,6.656,13.5238465,49.893,93.39757801,91.10923434,5.786,79.732,44.09361333,1,73.505,4.289,5.225,12.2518,0.372,62.21556478,26.75463316,14.361,8.3165,7.214
34.8,135.7666667,1,1,1,1,2,1,2,1,1,1,1,1,1,16.6,2348,80,6.2445,13.6238465,49.4265,89.344,75.85969006,4.765,113.875,49.475386,3,84.025,4.948,5.376,17.0349,0.31,39.09906478,28.73404697,12.169,8.3305,7.2955
35.23333333,136.3666667,1,1,1,1,2,1,2,1,1,1,1,1,1,14.5,1677,35,6.3055,14.2138465,52.9535,114.9892051,103.4107786,6.174,97.245,60.555445,1,90.675,4.781,5.3275,9.8003,0.296,54.35399677,28.03460731,12.7895,8.604,7.718
34.98333333,135.6666667,2,2,2,1,1,1,1,1,1,1,1,1,1,16.9,1552,143.5,5.7905,15.3,62.715,124.6806516,110.9287786,4.1525,99.737,59.73586246,1,105.12,4.3005,5.1785,11.1322,0.416,61.79006155,30.03712534,14.472,8.941,4.9245
34.98333333,135.6666667,1,1,1,1,1,1,1,1,1,1,1,1,1,15.9,1833,65.4,6.8985,17.459036,104.2,161.7,129.282878,5.3525,185.8835,72.5494,1,92.24,4.558,5.435,11.2595,0.299,45.579,27.35004663,14.829,9.012,7.5395
34.98333333,135.6666667,1,1,1,1,1,1,1,1,1,1,1,1,1,15.9,1833,65.4,6.3995,15.0501895,72.1,113,93.2395,5.378,103.0945,50.69933333,1,89.415,5.756,5.422,19.7115,0.371,44.13862258,20.99629569,11.2055,8.834,6.884
34.98333333,135.6666667,1,1,1,1,1,1,1,1,1,1,1,1,1,15.9,1833,65.4,5.317,17.4651895,86.1,139.6,123.596,5.3485,93.785,62.63386667,1,115.46,5.166,5.3175,16.5863,0.3465,51.87756478,34.41820628,11.896,8.753,7.4345
34.98333333,135.6666667,1,1,1,1,1,1,1,1,1,1,1,1,1,15.9,1833,65.4,5.435,16.585,97.9,118.3,110.8987343,4.951,109.3365,53.07726667,1,93.96,4.1875,5.2675,13.6531,0.2945,44.04394085,31.31620072,14.4205,8.646,7.441
34.98333333,135.6666667,1,1,1,1,1,1,1,1,1,1,1,1,1,15.9,1833,65.4,6.311,17.295,78.7,132.7,114.4563337,5.042,152.1495,59.53806667,1,117.555,4.7285,5.3495,16.1056,0.337,45.98459274,29.99472409,12.727,8.956,7.505
34.98333333,135.8,1,1,1,1,1,1,1,1,1,1,1,1,1,15.9,1833,83,5.1365,12.465,59.4,80.1,75.884,4.773,73.502,35.9382,1,89.08,5.9325,5.3935,9.2076,0.3365,52.13331129,27.80873316,11.493,7.5615,6.7595
